Id,SalePrice
1461,120147.59551914658
1462,156612.0053225543
1463,165288.25677279136
1464,181138.10710771583
1465,216389.63260971662
1466,187711.22350875707
1467,166115.4831703379
1468,175521.82358782706
1469,190890.1770331339
1470,117273.97541369162
1471,190608.68640740425
1472,116569.26426235841
1473,113259.07886424854
1474,166054.92149692474
1475,153107.95141707052
1476,392588.1855704288
1477,276884.55483589903
1478,306607.9860211051
1479,284805.5795137828
1480,433461.8405762319
1481,338707.35537832836
1482,221086.05077224504
1483,175625.73755632
1484,180709.14245356517
1485,172318.3803405995
1486,205857.35677840782
1487,341524.024370784
1488,254558.96377488782
1489,203908.2229260401
1490,186067.37310322316
1491,201994.0981477157
1492,107563.14568306296
1493,181599.1174051134
1494,293910.3926697892
1495,294785.7763979489
1496,209627.4741479042
1497,200910.1616866008
1498,165721.26764998582
1499,168073.4666565533
1500,155921.3167182014
1501,182008.54328477764
1502,163905.17768015398
1503,288731.6757912673
1504,233814.7182716208
1505,214953.33912294402
1506,210760.23168105216
1507,241881.53112933334
1508,209545.5637348018
1509,176326.82741041644
1510,150068.02210046284
1511,144778.0312061006
1512,172728.7929456029
1513,157848.86142163735
1514,147167.31840543554
1515,197726.7141091295
1516,169029.38430334188
1517,143972.2192466388
1518,170783.87431156906
1519,208816.1162873658
1520,134705.79018840267
1521,139191.56334524075
1522,182622.64532301933
1523,116626.34945960913
1524,117598.56760644955
1525,119664.34551837838
1526,122439.88364999485
1527,97292.2634513949
1528,131465.13821141716
1529,148232.20086893215
1530,173445.06369676668
1531,91281.99835017878
1532,86848.62021522403
1533,159041.74630705407
1534,129653.58039825076
1535,144524.42529342874
1536,119007.64404581174
1537,81561.35914023193
1538,174150.05381695915
1539,207385.7549146756
1540,124594.20125237895
1541,155839.84477441458
1542,141278.03686871668
1543,214371.35128769066
1544,81454.08558545906
1545,121309.592169887
1546,138193.9049897578
1547,132880.2936448613
1548,142955.9912588025
1549,115832.89272457997
1550,145489.5482817773
1551,130713.28204878666
1552,140137.81386894433
1553,118145.12403016623
1554,127814.25717929505
1555,162402.111242366
1556,106140.23999024268
1557,104445.60502743919
1558,112140.687569022
1559,99131.06007740228
1560,120203.57892586842
1561,141093.90351205182
1562,118536.289742993
1563,118306.87806675961
1564,162611.88394680945
1565,153753.16142443812
1566,204244.53394866412
1567,91708.7387439588
1568,206327.7182779007
1569,114615.193463549
1570,124062.62100290177
1571,125215.91818423843
1572,135742.033373429
1573,266977.9931871891
1574,144523.2322157536
1575,203913.8169633672
1576,205113.53841518678
1577,191062.09230602242
1578,135884.35957770134
1579,140354.59812882866
1580,198330.2310391916
1581,131182.1266121981
1582,129489.06324525009
1583,328010.4088047238
1584,239622.80630387666
1585,149339.78491129482
1586,57437.267571705415
1587,117414.39803908898
1588,139674.92346932265
1589,117170.59895799356
1590,140951.91230508237
1591,85486.5110994149
1592,123871.27565572987
1593,131367.2809713356
1594,127062.54443367792
1595,109516.51671576784
1596,249809.33288583194
1597,187959.10924410296
1598,192402.61087478392
1599,206617.20176641177
1600,213610.83646993374
1601,49455.280589600094
1602,111816.83724286582
1603,80052.9007719996
1604,248767.54537420176
1605,250109.2680879082
1606,165472.55818563778
1607,213891.2913508365
1608,206216.52659711122
1609,203636.1590782405
1610,155788.96561851446
1611,147337.94598705423
1612,173252.10047099192
1613,163810.13667572793
1614,122741.79362301696
1615,73860.49827449564
1616,73858.9809328661
1617,98047.30082469487
1618,113875.3140530711
1619,130663.97638245822
1620,209167.72943246947
1621,146605.93330514757
1622,139180.58969907512
1623,267107.0179938597
1624,202724.1877289942
1625,127814.88028526852
1626,177758.97246702595
1627,180989.5055525082
1628,291327.65417447797
1629,187749.95748503096
1630,323338.53481498564
1631,236792.72396955825
